模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-04 18:22:08 钢琴。本次回收：0。，总投入：72，总回收：145，实际收益：25，开关=2
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【未命中】。2022-12-04 18:23:06 架子鼓。本次回收：0。，总投入：82，总回收：145，实际收益：16，开关=2
****************************************
模拟下注：小提琴,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-04 18:26:00 贝斯。本次回收：0。，总投入：132，总回收：145，实际收益：-29，开关=1
****************************************
模拟下注：小提琴,125 | 贝斯,125 | 下注结果：【未命中】。2022-12-04 18:29:52 竖琴。本次回收：0。，总投入：382，总回收：145，实际收益：-259，开关=1
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-04 18:34:42 钢琴。本次回收：0。，总投入：384，总回收：145，实际收益：-261，开关=1
****************************************
模拟下注：吉他,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-04 18:37:36 竖琴。本次回收：0。，总投入：394，总回收：145，实际收益：-270，开关=1
****************************************
模拟下注：贝斯,25 | 吉他,25 | 下注结果：【未命中】。2022-12-04 18:42:26 钢琴。本次回收：0。，总投入：444，总回收：145，实际收益：-316，开关=1
****************************************
模拟下注：吉他,125 | 钢琴,125 | 下注结果：【未命中】。2022-12-04 19:02:44 贝斯。本次回收：0。，总投入：694，总回收：145，实际收益：-546，开关=1
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 19:10:28 竖琴。本次回收：0。，总投入：696，总回收：145，实际收益：-548，开关=1
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-04 19:18:12 小提琴。本次回收：0。，总投入：706，总回收：145，实际收益：-557，开关=1
****************************************
模拟下注：吉他,25 | 小提琴,25 | 下注结果：【命中】。2022-12-04 19:21:06 吉他。本次回收：125。总投入：756，总回收：270，实际收益：-524，开关=1
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-04 19:24:00 小提琴。本次回收：0。，总投入：758，总回收：270，实际收益：-525，开关=1
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【未命中】。2022-12-04 19:26:54 竖琴。本次回收：0。，总投入：768，总回收：270，实际收益：-535，开关=1
****************************************
模拟下注：钢琴,25 | 吉他,25 | 下注结果：【未命中】。2022-12-04 19:35:36 架子鼓。本次回收：0。，总投入：818，总回收：270，实际收益：-581，开关=2
****************************************
